26-Jun-2014 19:26:50
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140626-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0A-PMF-06.12.14-ch01
Sm = [0.00  0.06  0.14  0.24  0.37  0.55  0.78]
Dy = [0.00  0.05  0.11  0.20  0.32  0.49  0.71]
Tm = [0.00  0.06  0.15  0.28  0.47  0.76]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 25.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.89  15.12  16.00  14.00   0.29]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.29]
Flush/clean water: ch = 1, press = 6.00 psi
Oil: ch = 3, press = 9.50 psi
Push Water: ch = 2, press = 6.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
165	0.55	0.00	0.28	0.17	8.42	0.29	4.79	2.69
166	0.55	0.05	0.00	0.41	8.42	1.01	0.29	5.96
167	0.55	0.05	0.06	0.34	8.42	1.01	1.26	5.11
168	0.55	0.05	0.15	0.25	8.42	1.01	2.69	3.85
169	0.55	0.05	0.28	0.12	8.42	1.01	4.79	2.02
170	0.55	0.11	0.00	0.34	8.42	2.00	0.29	5.05
171	0.55	0.11	0.06	0.28	8.42	2.00	1.26	4.19
172	0.55	0.11	0.15	0.19	8.42	2.00	2.69	2.94
173	0.55	0.11	0.28	0.06	8.42	2.00	4.79	1.10
174	0.55	0.20	0.00	0.25	8.42	3.34	0.29	3.80
175	0.55	0.20	0.06	0.19	8.42	3.34	1.26	2.95
176	0.55	0.20	0.15	0.10	8.42	3.34	2.69	1.70
177	0.55	0.32	0.00	0.13	8.42	5.16	0.29	2.12
178	0.55	0.32	0.06	0.07	8.42	5.16	1.26	1.26
179	0.78	0.00	0.00	0.22	11.85	 0.29	 0.29	 3.41
180	0.78	0.00	0.06	0.16	11.85	 0.29	 1.26	 2.55
181	0.78	0.00	0.15	0.07	11.85	 0.29	 2.69	 1.30
182	0.78	0.05	0.00	0.17	11.85	 1.01	 0.29	 2.74
183	0.78	0.05	0.06	0.11	11.85	 1.01	 1.26	 1.88
184	0.78	0.05	0.15	0.02	11.85	 1.01	 2.69	 0.63
185	0.78	0.11	0.00	0.11	11.85	 2.00	 0.29	 1.82
186	0.78	0.11	0.06	0.05	11.85	 2.00	 1.26	 0.97
187	0.78	0.20	0.00	0.02	11.85	 3.34	 0.29	 0.58
Mixer 2
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.29	 0.29	 0.29	14.29
