10-Sep-2014 15:46:23
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140910-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-PMF-07.30.14-ch02
Sm = [0.00  0.06  0.14  0.24  0.37  0.55  0.78]
Dy = [0.00  0.05  0.11  0.20  0.32  0.49  0.71]
Tm = [0.00  0.06  0.15  0.28  0.47  0.76]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.00  14.35  14.22  14.00   0.74]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.29]
Oil: ch = 3, press = 8.00 psi
Push Water: ch = 2, press = 6.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
164	0.55	0.00	0.15	0.30	8.39	0.74	2.88	4.98
165	0.55	0.00	0.28	0.17	8.39	0.74	4.74	3.14
166	0.55	0.05	0.00	0.41	8.39	1.43	0.74	6.41
167	0.55	0.05	0.06	0.34	8.39	1.43	1.60	5.56
168	0.55	0.05	0.15	0.25	8.39	1.43	2.88	4.31
169	0.55	0.05	0.28	0.12	8.39	1.43	4.74	2.47
170	0.55	0.11	0.00	0.34	8.39	2.36	0.74	5.50
171	0.55	0.11	0.06	0.28	8.39	2.36	1.60	4.64
172	0.55	0.11	0.15	0.19	8.39	2.36	2.88	3.39
173	0.55	0.11	0.28	0.06	8.39	2.36	4.74	1.56
174	0.55	0.20	0.00	0.25	8.39	3.64	0.74	4.26
175	0.55	0.20	0.06	0.19	8.39	3.64	1.60	3.40
176	0.55	0.20	0.15	0.10	8.39	3.64	2.88	2.15
177	0.55	0.32	0.00	0.13	8.39	5.37	0.74	2.57
178	0.55	0.32	0.06	0.07	8.39	5.37	1.60	1.71
179	0.78	0.00	0.00	0.22	11.61	 0.74	 0.74	 3.86
180	0.78	0.00	0.06	0.16	11.61	 0.74	 1.60	 3.00
181	0.78	0.00	0.15	0.07	11.61	 0.74	 2.88	 1.75
182	0.78	0.05	0.00	0.17	11.61	 1.43	 0.74	 3.19
183	0.78	0.05	0.06	0.11	11.61	 1.43	 1.60	 2.33
184	0.78	0.05	0.15	0.02	11.61	 1.43	 2.88	 1.08
185	0.78	0.11	0.00	0.11	11.61	 2.36	 0.74	 2.27
186	0.78	0.11	0.06	0.05	11.61	 2.36	 1.60	 1.42
187	0.78	0.20	0.00	0.02	11.61	 3.64	 0.74	 1.03
Mixer 2
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.29	 0.29	 0.29	14.29
2	0.00	0.00	0.06	0.94	0.29	 0.29	 1.26	13.43
3	0.00	0.00	0.15	0.85	0.29	 0.29	 2.68	12.18
4	0.00	0.00	0.28	0.72	0.29	 0.29	 4.76	10.34
5	0.00	0.00	0.47	0.53	0.29	0.29	7.82	7.65
6	0.00	0.00	0.76	0.24	0.29	 0.29	12.30	 3.70
7	0.00	0.05	0.00	0.95	0.29	 0.99	 0.29	13.61
