02-Jul-2014 17:44:05
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140702-02.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0A-PMF-06.12.14-ch03
Sm = [0.00  0.04  0.09  0.15  0.22  0.31  0.41  0.54  0.70  0.89]
Dy = [0.00  0.03  0.07  0.12  0.19  0.26  0.36  0.48  0.63  0.82]
Tm = [0.00]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 25.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.42  14.73  16.48  14.00   0.23]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.29]
Flush/clean water: ch = 1, press = 6.00 psi
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 6.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C6]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
% Making Code # 14 = [0.04  0.12  0.00  0.84]
% Making Code # 15 = [0.04  0.19  0.00  0.77]
% Making Code # 16 = [0.04  0.26  0.00  0.70]
% Making Code # 17 = [0.04  0.36  0.00  0.60]
% Making Code # 18 = [0.04  0.48  0.00  0.48]
% Making Code # 19 = [0.04  0.63  0.00  0.33]
% Making Code # 20 = [0.04  0.82  0.00  0.14]
% Making Code # 21 = [0.09  0.00  0.00  0.91]
% Making Code # 22 = [0.09  0.03  0.00  0.88]
% Making Code # 23 = [0.09  0.07  0.00  0.84]
% Making Code # 24 = [0.09  0.12  0.00  0.79]
% Making Code # 25 = [0.09  0.19  0.00  0.72]
% Making Code # 26 = [0.09  0.26  0.00  0.65]
% Making Code # 27 = [0.09  0.36  0.00  0.55]
% Making Code # 28 = [0.09  0.48  0.00  0.43]
% Making Code # 29 = [0.09  0.63  0.00  0.28]
% Making Code # 30 = [0.09  0.82  0.00  0.09]
% Making Code # 31 = [0.15  0.00  0.00  0.85]
% Making Code # 32 = [0.15  0.03  0.00  0.82]
% Making Code # 33 = [0.15  0.07  0.00  0.78]
% Making Code # 34 = [0.15  0.12  0.00  0.73]
% Making Code # 35 = [0.15  0.19  0.00  0.66]
% Making Code # 36 = [0.15  0.26  0.00  0.59]
% Making Code # 37 = [0.15  0.36  0.00  0.49]
% Making Code # 38 = [0.15  0.48  0.00  0.37]
% Making Code # 39 = [0.15  0.63  0.00  0.22]
% Making Code # 40 = [0.15  0.82  0.00  0.03]
% Making Code # 41 = [0.22  0.00  0.00  0.78]
% Making Code # 42 = [0.22  0.03  0.00  0.75]
% Making Code # 43 = [0.22  0.07  0.00  0.71]
% Making Code # 44 = [0.22  0.12  0.00  0.66]
% Making Code # 45 = [0.22  0.19  0.00  0.59]
% Making Code # 46 = [0.22  0.26  0.00  0.51]
% Making Code # 47 = [0.22  0.36  0.00  0.42]
% Making Code # 48 = [0.22  0.48  0.00  0.30]
% Making Code # 49 = [0.22  0.63  0.00  0.15]
% Making Code # 50 = [0.31  0.00  0.00  0.69]
% Making Code # 51 = [0.31  0.03  0.00  0.66]
% Making Code # 52 = [0.31  0.07  0.00  0.62]
% Making Code # 53 = [0.31  0.12  0.00  0.57]
% Making Code # 54 = [0.31  0.19  0.00  0.51]
% Making Code # 55 = [0.31  0.26  0.00  0.43]
% Making Code # 56 = [0.31  0.36  0.00  0.33]
% Making Code # 57 = [0.31  0.48  0.00  0.21]
% Making Code # 58 = [0.31  0.63  0.00  0.06]
% Making Code # 59 = [0.41  0.00  0.00  0.59]
% Making Code # 60 = [0.41  0.03  0.00  0.55]
% Making Code # 61 = [0.41  0.07  0.00  0.51]
% Making Code # 62 = [0.41  0.12  0.00  0.46]
% Making Code # 63 = [0.41  0.19  0.00  0.40]
% Making Code # 64 = [0.41  0.26  0.00  0.32]
% Making Code # 65 = [0.41  0.36  0.00  0.22]
% Making Code # 66 = [0.41  0.48  0.00  0.10]
% Making Code # 67 = [0.54  0.00  0.00  0.46]
% Making Code # 68 = [0.54  0.03  0.00  0.42]
% Making Code # 69 = [0.54  0.07  0.00  0.38]
% Making Code # 70 = [0.54  0.12  0.00  0.33]
% Making Code # 71 = [0.54  0.19  0.00  0.27]
% Making Code # 72 = [0.54  0.26  0.00  0.19]
% Making Code # 73 = [0.54  0.36  0.00  0.09]
% Making Code # 74 = [0.70  0.00  0.00  0.30]
% Making Code # 75 = [0.70  0.03  0.00  0.27]
% Making Code # 76 = [0.70  0.07  0.00  0.23]
% Making Code # 77 = [0.70  0.12  0.00  0.18]
% Making Code # 78 = [0.70  0.19  0.00  0.11]
% Making Code # 79 = [0.70  0.26  0.00  0.03]
% Making Code # 80 = [0.89  0.00  0.00  0.11]
% Making Code # 81 = [0.89  0.03  0.00  0.08]
% Making Code # 82 = [0.89  0.07  0.00  0.04]
% DONE!
